"participant_id","PS0","PS1","PS2","PS3","PS4","PS5","PS6","PS7","PS8","PS9","PS10","PS11","PS12","PS13","PS14","companionship","investment"
3,4,1,2,4,1,1,1,5,5,2,5,1,3,2,1,-7.88938575526976,2.79859190572702
4,4,2,2,4,4,2,4,2,2,2,2,3,3,3,2,-3.6267241260295,2.92341470499864
5,1,2,3,3,2,2,4,1,1,4,1,5,2,1,1,-2.39263294736025,-1.30177649792225
6,5,2,4,4,5,2,3,4,2,4,2,4,2,2,1,-4.92665953304773,3.11372201818828
8,5,1,5,2,4,1,3,4,3,4,5,2,3,5,5,-9.16664768183099,4.48352750813704
10,1,2,3,4,1,1,3,1,2,2,2,4,2,2,3,-3.42636896720252,-0.315980042740084
12,5,2,4,3,3,1,2,4,1,2,4,2,3,3,3,-6.41361061064258,4.4880445423789
13,5,3,4,3,4,3,2,4,2,2,3,4,4,3,2,-6.2930916526336,3.2455325067872
14,2,4,4,2,2,2,4,2,1,3,1,4,5,5,2,-5.28178889632448,-0.0267973954585374
15,2,1,3,2,4,1,3,2,4,3,3,2,2,4,2,-5.75263492782638,1.31021306033679
16,4,3,2,3,3,2,2,4,3,4,4,4,4,2,2,-7.03858360709173,1.86395790566488
17,5,4,2,4,4,1,2,2,1,2,2,5,2,1,2,-3.2727034823065,3.13535786643374
18,4,2,4,3,3,4,2,3,4,3,4,4,4,3,3,-7.45162979569724,1.90294626748824
19,1,3,2,5,4,4,4,3,4,4,1,5,4,2,1,-4.01075192477805,-1.57712700737802
20,1,5,5,1,1,1,1,5,5,5,5,5,2,1,1,-9.90346702008527,-2.56463890904598
21,5,1,5,3,4,2,2,3,1,1,3,4,4,1,1,-4.46181795272538,3.76495593807697
23,1,1,4,5,3,2,2,4,1,2,4,5,5,3,2,-4.9558778004258,0.59290919781371
24,4,2,2,4,4,1,4,3,4,4,3,4,4,4,2,-6.34806493885887,2.22686118654787
25,1,1,4,5,5,4,2,2,1,3,2,4,2,2,2,-2.32947240335722,0.539710441916837
26,2,2,2,4,4,2,2,3,2,4,4,4,3,1,1,-4.51125380671097,0.794762333605237
27,5,5,4,2,2,2,4,4,5,5,4,5,5,5,4,-10.7645992961905,1.38056727945664
29,5,2,3,4,2,1,3,4,4,4,4,4,3,4,4,-8.29066849913375,2.98914784836124
30,5,5,5,2,3,2,4,4,5,2,3,3,4,2,2,-8.39457816567409,1.91059955839574
32,4,2,2,4,4,2,4,1,1,2,1,2,1,2,2,-1.77921343502917,3.1784799422
33,3,2,2,4,2,1,4,2,1,1,1,3,1,3,2,-2.42702599452344,2.00920881178071
35,5,3,2,4,4,1,4,2,2,3,3,3,4,3,2,-4.87471077438711,3.66045768250419
36,2,2,4,3,3,3,2,4,3,3,2,4,3,2,2,-5.68738627170992,0.0811566824229898
37,5,1,4,3,2,1,2,4,2,5,4,4,2,5,1,-7.60222935710985,3.12928008775127
38,3,1,4,3,3,1,4,5,4,4,2,4,2,5,4,-7.65025300267467,1.33385372299996
39,5,1,2,5,3,1,3,1,1,2,2,3,2,2,1,-2.24896226263212,4.02469007359734
40,1,2,3,4,5,1,4,3,2,1,2,4,2,3,2,-3.10153199505431,0.701895013199587
41,5,2,5,1,1,1,1,3,1,2,2,5,1,2,2,-5.7494271589626,2.47224136702384
42,1,2,3,1,1,1,5,3,3,2,2,4,3,4,2,-5.85742525213119,-1.00985675481511
43,5,2,2,5,5,2,4,2,1,3,2,5,4,3,2,-3.25139830777468,3.6149003746199
44,2,2,3,4,3,2,4,4,4,4,2,4,3,3,2,-5.95694609668818,-0.0836271438080562
