Data Type,Name Feature
category,participant_id
object,transitions
float64,flow_score
object,playlist
object,current_track-next_track
object,current_track
object,next_track
float64,diff_acousticness
float64,diff_danceability
float64,diff_energy
float64,diff_valence
float64,diff_tempo
float64,diff_instrumentalness
float64,diff_key
float64,diff_mode
float64,diff_liveness
float64,diff_loudness
float64,diff_speechiness
int64,is_good_sequence
object,1st_playlist
object,2nd_playlist
object,3rd_playlist
int64,age
int64,gender
int64,hours_spotify
int64,hours_spotify_coded
object,most_enjoyable_playlist
int64,msi_F1
int64,msi_F2
int64,msi_F3
int64,msi_F4
int64,msi_F5
int64,msi_FG
int64,SUM_msi
float64,extraversion
float64,agreeableness
float64,conscientiousness
float64,neuroticism
float64,openness
float64,companionship
float64,investment
