participant_id,extraversion,agreeableness,conscientiousness,neuroticism,openness
3,3.25,4.25,2.5,1.25,3.5
4,3.75,4.25,4.5,2.0,2.5
5,3.25,4.0,3.25,1.75,3.0
6,4.25,4.25,5.0,3.5,2.75
8,1.75,4.0,4.5,2.25,4.0
10,3.0,3.75,3.25,2.75,5.0
12,4.25,4.5,2.25,2.75,4.25
13,2.25,4.25,2.75,3.25,2.0
14,2.5,4.25,4.0,2.0,4.25
15,3.25,4.75,4.25,2.75,3.25
16,3.25,3.5,3.25,2.25,4.0
17,2.0,4.25,4.0,2.5,3.0
18,3.5,3.0,3.5,2.5,3.0
19,2.5,4.0,4.75,2.5,2.75
20,4.0,4.75,5.0,2.75,4.5
21,3.75,5.0,4.0,3.25,2.0
23,2.5,3.25,2.75,2.25,3.5
24,4.0,2.5,4.25,3.5,4.0
25,2.25,2.25,3.75,2.25,4.75
26,1.75,3.75,4.0,2.0,3.75
27,3.0,3.25,4.5,1.5,3.5
29,2.75,4.0,2.75,3.75,4.5
30,4.5,4.25,2.25,2.75,3.25
32,3.0,3.0,2.75,2.0,4.0
33,4.0,5.0,4.25,3.25,4.0
35,4.5,4.5,3.0,2.75,5.0
36,3.0,3.5,3.0,2.75,2.5
37,4.0,4.75,4.75,3.25,3.75
38,4.5,4.5,3.0,2.25,4.0
39,3.0,4.5,4.0,3.75,4.25
40,3.75,3.75,2.0,1.75,3.25
41,3.25,4.0,2.75,2.5,3.25
42,2.5,3.5,3.0,2.25,3.25
43,3.0,3.75,1.25,3.0,3.25
44,4.0,3.5,3.5,3.0,4.0
