track_id,category_id,album_name,artist_name,playlist_name,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
2dLxWmivrCHjJbYAkVNFyH,pop,Toast to our Differences (Deluxe),"Rudimental,RAY BLK,Stefflon Don",Stay Tuned!,Scared of Love (feat. RAY BLK & Stefflon Don),spotify:track:2dLxWmivrCHjJbYAkVNFyH,203000,54,0.0159,0.721,0.691,0.343,118.018,1.87e-06,5,1,0.28600000000000003,-4.671,0.0536
31MkGwj0SWgZaTvEt5Hgxv,pop,What About Us,P!nk,Soft Pop Hits,What About Us,spotify:track:31MkGwj0SWgZaTvEt5Hgxv,271520,70,0.0254,0.386,0.594,0.187,113.843,3.03e-06,1,1,0.0873,-6.186,0.0565
21bAZmgzIw13tN0rHtMeRq,pop,Insecure,Svrcina,Soft Pop Hits,Insecure,spotify:track:21bAZmgzIw13tN0rHtMeRq,200000,59,0.353,0.7190000000000001,0.655,0.393,114.001,6.61e-06,6,1,0.0799,-5.153,0.0475
27rdGxbavYJeBphck5MZAF,pop,Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson,Miley Cyrus",Love For Pop,Nothing Breaks Like a Heart (feat. Miley Cyrus),spotify:track:27rdGxbavYJeBphck5MZAF,217467,92,0.00987,0.601,0.794,0.244,114.066,1.36e-06,7,0,0.388,-5.8439999999999985,0.0671
0kHyKhJMukHEPfeh8s7rdM,pop,Born To Be Yours,"Kygo,Imagine Dragons",Love For Pop,Born To Be Yours,spotify:track:0kHyKhJMukHEPfeh8s7rdM,193321,82,0.3,0.688,0.688,0.451,114.011,0.0,3,1,0.0982,-5.84,0.0357
4AmHBxaNASqpKUp7j69Ucl,pop,Heaven,"Shan Vincent De Paul,Navz-47",Global X,Heaven,spotify:track:4AmHBxaNASqpKUp7j69Ucl,196064,36,0.329,0.675,0.763,0.644,112.184,0.0,11,0,0.0665,-4.154,0.0457
7fCNUWi6uflDTQ08srxMZk,pop,NO EXCUSES,Meghan Trainor,Women of Pop,NO EXCUSES,spotify:track:7fCNUWi6uflDTQ08srxMZk,152862,74,0.0224,0.8270000000000001,0.6579999999999999,0.523,115.016,0.0,6,1,0.0417,-3.846,0.0517
06c2L1gFGjdtqIDZ9lleH5,pop,Best Of Anita Meyer,Anita Meyer,Beste van NL,Why Tell Me Why,spotify:track:06c2L1gFGjdtqIDZ9lleH5,213773,53,0.234,0.649,0.77,0.382,112.344,0.0,1,0,0.5870000000000001,-5.779,0.0591
0JumfyG7GUshFjxouEXwhw,pop,You Deserve Better (Andrelli Remix),"James Arthur,Andrelli",Massive Pop Remixes,You Deserve Better - Andrelli Remix,spotify:track:0JumfyG7GUshFjxouEXwhw,196493,58,0.334,0.685,0.7120000000000001,0.483,114.989,1.1e-06,6,0,0.047,-4.302,0.0894
1UUj1iScVn6wOXiBSyBhLn,pop,Habibi Aiwa,Gilli,Arab X,Habibi Aiwa,spotify:track:1UUj1iScVn6wOXiBSyBhLn,198545,57,0.0612,0.731,0.6609999999999999,0.5760000000000001,109.963,4.9e-05,5,0,0.146,-6.369,0.15
